locus,pop,peak_value,peak_pos
Gste2,bf_gam,0.3789579395085066,-2.928000000000708
Gste2,gn_gam,0.3246875,-79.23200000000108
Gste2,gh_gam,,
Gste2,cm_sav_gam,0.40163845486111116,-10.877000000000692
Gste2,ug_gam,0.31250000000000006,-5.205000000000126
Gste2,ga_gam,0.14398235664776304,-11.901999999999191
Gste2,gq_gam,,
Gste2,fr_gam,,
Gste2,bf_col,0.25466666666666665,13.87499999999875
Gste2,ci_col,0.331481848839516,-25.224999999998943
Gste2,gh_col,0.4826446280991735,-6.162499999998516
Gste2,ao_col,,
Gste2,gw,,
Gste2,gm,,
Gste2,ke,,
Cyp6p3,bf_gam,0.35662807183364836,-29.16349999999923
Cyp6p3,gn_gam,0.30437499999999995,-30.594499999999414
Cyp6p3,gh_gam,0.5138888888888888,49.17050000000245
Cyp6p3,cm_sav_gam,0.27435980902777785,-29.82799999999841
Cyp6p3,ug_gam,0.7143255739795918,-23.29549999999969
Cyp6p3,ga_gam,,
Cyp6p3,gq_gam,,
Cyp6p3,fr_gam,,
Cyp6p3,bf_col,0.36231111111111103,-25.29999999999788
Cyp6p3,ci_col,0.32176155524697475,-40.12050000000045
Cyp6p3,gh_col,0.22760330578512394,-24.114499999999595
Cyp6p3,ao_col,,
Cyp6p3,gw,,
Cyp6p3,gm,0.4365680473372781,-43.21149999999818
Cyp6p3,ke,,
Cyp9k1,bf_gam,0.3770327467141902,13.372999999999635
Cyp9k1,gn_gam,0.21531250000000002,-107.52650000000052
Cyp9k1,gh_gam,,
Cyp9k1,cm_sav_gam,,
Cyp9k1,ug_gam,,
Cyp9k1,ga_gam,0.3172652804032767,-433.06600000000014
Cyp9k1,gq_gam,0.22839506172839505,-467.43500000000006
Cyp9k1,fr_gam,,
Cyp9k1,bf_col,0.9186921296296295,29.84000000000009
Cyp9k1,ci_col,0.6825034715334259,31.091499999998717
Cyp9k1,gh_col,0.44561983471074373,-82.38750000000117
Cyp9k1,ao_col,,
Cyp9k1,gw,,
Cyp9k1,gm,0.24804733727810657,282.4604999999991
Cyp9k1,ke,,
Vgsc,bf_gam,0.9571124763705103,0.2174999999979832
Vgsc,gn_gam,0.9753124999999998,-6.748999999999228
Vgsc,gh_gam,1.0,-195.19650000000155
Vgsc,cm_sav_gam,0.19710286458333334,-17.564500000005978
Vgsc,ug_gam,0.955955038265306,-341.9294999999991
Vgsc,ga_gam,0.18546523839529513,-237.87599999999998
Vgsc,gq_gam,,
Vgsc,fr_gam,,
Vgsc,bf_col,0.8110222222222221,219.78749999999536
Vgsc,ci_col,0.8516167427097797,-2.666000000004942
Vgsc,gh_col,0.8775206611570249,245.20249999999066
Vgsc,ao_col,0.38905325443786987,-91.20950000000505
Vgsc,gw,,
Vgsc,gm,,
Vgsc,ke,,
Gaba,bf_gam,0.1480978260869565,25.600499999995918
Gaba,gn_gam,0.22124999999999997,273.1255000000061
Gaba,gh_gam,0.9201388888888888,74.32799999999418
Gaba,cm_sav_gam,,
Gaba,ug_gam,,
Gaba,ga_gam,0.3648393194706995,88.42149999999549
Gaba,gq_gam,0.5432098765432098,121.39449999999385
Gaba,fr_gam,,
Gaba,bf_col,0.3176888888888888,28.40799999999888
Gaba,ci_col,0.3600476096012696,59.986499999993725
Gaba,gh_col,0.3657851239669421,63.19550000000618
Gaba,ao_col,,
Gaba,gw,,
Gaba,gm,,
Gaba,ke,,
Ace1,bf_gam,,
Ace1,gn_gam,,
Ace1,gh_gam,0.40625,-371.4300000000002
Ace1,cm_sav_gam,,
Ace1,ug_gam,,
Ace1,ga_gam,,
Ace1,gq_gam,,
Ace1,fr_gam,,
Ace1,bf_col,,
Ace1,ci_col,0.20769688553858362,159.2125000000002
Ace1,gh_col,,
Ace1,ao_col,,
Ace1,gw,,
Ace1,gm,,
Ace1,ke,,
