locus,pop,peak_value,peak_pos
Gste2,bf_gam,9.332232301740573,-257.586100000001
Gste2,gn_gam,8.752684800021791,-144.41400000000115
Gste2,gh_gam,5.4188199266964405,-27.13314000000011
Gste2,cm_sav_gam,8.99522052990705,-259.6432199999974
Gste2,ug_gam,7.231016671763661,2.743519999999222
Gste2,ga_gam,,
Gste2,gq_gam,,
Gste2,fr_gam,,
Gste2,bf_col,9.626269982391701,4.283699999998447
Gste2,ci_col,5.860607851701122,-81.45704000000009
Gste2,gh_col,6.559270754635537,-1.9175399999973308
Gste2,ao_col,,
Gste2,gw,,
Gste2,gm,,
Gste2,ke,,
Cyp6p3,bf_gam,,
Cyp6p3,gn_gam,5.579563993087699,277.40890000000104
Cyp6p3,gh_gam,,
Cyp6p3,cm_sav_gam,5.989502454022675,-48.74251999999757
Cyp6p3,ug_gam,5.874463839338133,-97.33011999999874
Cyp6p3,ga_gam,,
Cyp6p3,gq_gam,,
Cyp6p3,fr_gam,,
Cyp6p3,bf_col,6.608554473509579,47.812199999999194
Cyp6p3,ci_col,4.799893095949464,29.056100000001805
Cyp6p3,gh_col,,
Cyp6p3,ao_col,7.2161957755293935,-438.17603999999835
Cyp6p3,gw,,
Cyp6p3,gm,6.96531601076344,-139.7945399999969
Cyp6p3,ke,,
Cyp9k1,bf_gam,,
Cyp9k1,gn_gam,,
Cyp9k1,gh_gam,,
Cyp9k1,cm_sav_gam,7.02925496850142,277.6350199999982
Cyp9k1,ug_gam,,
Cyp9k1,ga_gam,,
Cyp9k1,gq_gam,,
Cyp9k1,fr_gam,,
Cyp9k1,bf_col,,
Cyp9k1,ci_col,,
Cyp9k1,gh_col,,
Cyp9k1,ao_col,,
Cyp9k1,gw,,
Cyp9k1,gm,,
Cyp9k1,ke,,
Vgsc,bf_gam,,
Vgsc,gn_gam,,
Vgsc,gh_gam,,
Vgsc,cm_sav_gam,,
Vgsc,ug_gam,,
Vgsc,ga_gam,,
Vgsc,gq_gam,,
Vgsc,fr_gam,,
Vgsc,bf_col,,
Vgsc,ci_col,,
Vgsc,gh_col,,
Vgsc,ao_col,,
Vgsc,gw,,
Vgsc,gm,,
Vgsc,ke,,
Gaba,bf_gam,6.8599698857452305,52.08931999999322
Gaba,gn_gam,7.506229444808449,142.40730000000212
Gaba,gh_gam,,
Gaba,cm_sav_gam,,
Gaba,ug_gam,,
Gaba,ga_gam,,
Gaba,gq_gam,,
Gaba,fr_gam,,
Gaba,bf_col,8.111786326513101,80.7227399999988
Gaba,ci_col,5.677083883407199,142.91993999999875
Gaba,gh_col,6.501543960465962,81.37109999999836
Gaba,ao_col,,
Gaba,gw,,
Gaba,gm,,
Gaba,ke,,
Ace1,bf_gam,,
Ace1,gn_gam,,
Ace1,gh_gam,4.245598103841198,-161.19704000000024
Ace1,cm_sav_gam,,
Ace1,ug_gam,,
Ace1,ga_gam,,
Ace1,gq_gam,,
Ace1,fr_gam,,
Ace1,bf_col,,
Ace1,ci_col,5.8971422291176,228.28804000000025
Ace1,gh_col,,
Ace1,ao_col,,
Ace1,gw,,
Ace1,gm,,
Ace1,ke,,
