locus,pop,peak_value,peak_pos
Gste2,bf_gam,5.327111163280166,6.838195000000269
Gste2,gn_gam,4.723271092278652,-93.76723999999825
Gste2,gh_gam,,
Gste2,cm_sav_gam,5.951453100021786,4.483170000000314
Gste2,ug_gam,4.909269751495577,5.661469999999724
Gste2,ga_gam,4.331326348028867,5.0407049999989795
Gste2,gq_gam,,
Gste2,fr_gam,,
Gste2,bf_col,5.398494330359844,6.482920000003389
Gste2,ci_col,4.811224167701684,6.479110000000787
Gste2,gh_col,5.391260420220926,7.08392499999988
Gste2,ao_col,,
Gste2,gw,,
Gste2,gm,,
Gste2,ke,,
Cyp6p3,bf_gam,4.425516280256126,-27.041849999999812
Cyp6p3,gn_gam,3.9052831018317407,-26.216199999996803
Cyp6p3,gh_gam,,
Cyp6p3,cm_sav_gam,3.5513202541032802,-63.491234999997204
Cyp6p3,ug_gam,5.617712251392317,-65.53365999999983
Cyp6p3,ga_gam,,
Cyp6p3,gq_gam,,
Cyp6p3,fr_gam,,
Cyp6p3,bf_col,3.999361770436198,-26.229239999995713
Cyp6p3,ci_col,4.223995165865024,-65.63346999999808
Cyp6p3,gh_col,,
Cyp6p3,ao_col,,
Cyp6p3,gw,,
Cyp6p3,gm,5.4704635073474055,32.90582500000028
Cyp6p3,ke,,
Cyp9k1,bf_gam,3.6760287111968517,121.35965999999954
Cyp9k1,gn_gam,2.6834481173604696,108.20802499999971
Cyp9k1,gh_gam,,
Cyp9k1,cm_sav_gam,,
Cyp9k1,ug_gam,,
Cyp9k1,ga_gam,,
Cyp9k1,gq_gam,,
Cyp9k1,fr_gam,,
Cyp9k1,bf_col,,
Cyp9k1,ci_col,,
Cyp9k1,gh_col,5.095245249435467,120.91579500000016
Cyp9k1,ao_col,,
Cyp9k1,gw,,
Cyp9k1,gm,,
Cyp9k1,ke,,
Vgsc,bf_gam,,
Vgsc,gn_gam,,
Vgsc,gh_gam,,
Vgsc,cm_sav_gam,,
Vgsc,ug_gam,,
Vgsc,ga_gam,,
Vgsc,gq_gam,,
Vgsc,fr_gam,,
Vgsc,bf_col,,
Vgsc,ci_col,,
Vgsc,gh_col,,
Vgsc,ao_col,,
Vgsc,gw,,
Vgsc,gm,,
Vgsc,ke,,
Gaba,bf_gam,,
Gaba,gn_gam,4.710979551633146,114.01529500000152
Gaba,gh_gam,,
Gaba,cm_sav_gam,,
Gaba,ug_gam,,
Gaba,ga_gam,,
Gaba,gq_gam,5.952663391651895,114.64254000000551
Gaba,fr_gam,,
Gaba,bf_col,4.693700501615585,95.42980999999884
Gaba,ci_col,5.564018184593182,54.643525000003024
Gaba,gh_col,5.679539080888069,55.189780000006294
Gaba,ao_col,,
Gaba,gw,,
Gaba,gm,,
Gaba,ke,,
Ace1,bf_gam,,
Ace1,gn_gam,,
Ace1,gh_gam,5.020021365978011,-108.14106999999984
Ace1,cm_sav_gam,,
Ace1,ug_gam,,
Ace1,ga_gam,,
Ace1,gq_gam,,
Ace1,fr_gam,,
Ace1,bf_col,,
Ace1,ci_col,,
Ace1,gh_col,,
Ace1,ao_col,,
Ace1,gw,,
Ace1,gm,,
Ace1,ke,,
